tweet_id,emotion,text
1751785908,love,@David_Henrie have fun dude. Love u on &quot;wizards of waverly place&quot;!!!
8489507769,fun,This party is amazing I having a great time!
1752870026,love,happy mum's day! i kinduhh have a major crush on alex johnson from the cab
1694239689,neutral,????? http://is.gd/wxMt . ??????? ???  and may the source be with you
1957738760,neutral,"1am, quietly tidying up after dinner party. Whilst closing tupprwre lid, centre island in my kitchen collapses! Wakes baby. Mayhem ensues"
1753837734,love,i love you more than you'll ever know.
1962810142,sadness,"i wanna see 'up' tonight, but no one will go with me. whhhyyy"
1961997205,surprise,@mawbooks I want a copy to read! I can't find it at my little library.  #bea09
1752772845,empty,texting
1694421056,neutral,@jojoUK55 Have a good day
1752351115,sadness,@Aroundtheus  cheers!! ;)
1695029804,happiness,"@petecooper Happy anniversary to you and @fluffymuppet! Hoping for many, many more. All the best from all of us"
1960559624,worry,"@ceichstaedt I guess it'll work under fusion. Otherwise you'll have to boot directly to Vista just to do some online banking, which sucks"
1695548136,surprise,wowww!! havent twitter in like FOREVER!! all done with SAT! Finally! soo happy!  i think i did terribly but who cares! ITS DONE! lol
1753585226,enthusiasm,@sookyeong u mean VIP this time ? coz of the KBS thingy ? haha..
1961062143,neutral,"So, I'm at the point now that it has become apparent that having a degree means jack shit."
2652664875,boredom,Everything feels slow and uninteresting today.
3938873513,anger,I am furious about what happened yesterday!
1957541030,sadness,is having headache and colds...
1752986642,relief,"@LindseyMadonna I'm glad for you  I'm fine, thanks. Just another night full of M"
1694979520,worry,"Coffee brewing, on this #musicmonday morning i'm #listening to the fray... Here's to a good week"
1961435029,worry,I hate only having 1gb ram to use as host and 1gb for Virtual Machine  Sucks so much
1753744471,neutral,@VogueChic http://tinyurl.com/64ozr7 :: from Ate Kaila Ocampo  of the.rainbowholic.me&amp;&amp;eerie-silence.net
1965085505,worry,@DoMeZydrate I agree. I missed a LOT while I was away and busy and now it's like a whole new place
1963607663,neutral,@pd1ddee i havent got a call
